en,Which country produces the most amount of coffee in the world?,Columbia,Indonesia,Brazil - правильный ответ,Vietnam
en,How long is a moment lasts?,60 seconds,90 seconds - правильный ответ,120 seconds,180 seconds
en,How many manned moon landings have there been?,Eight,Five,Six - правильный ответ,Seven
en,What is the largest island in the world?,Island,Finland,Greenland - правильный ответ,Ireland
en,How a female deer is called?,Mare,Sow,Chicken,Doe - правильный ответ
de,Welches Land produziert die meiste Menge an Kaffee in der Welt?,Kolumbien,Indonesien,Brasilien - правильный ответ,Vietnam
de,Wie lange dauert ein Augenblick?,60 Sekunden,90 Sekunden - правильный ответ,120 Sekunden,180 Sekunden
de,Wie viele bemannte Mondlandungen hat es gegeben?,Acht,Fünf,Sechs - правильный ответ,Sieben
de,Welche ist die größte Insel der Welt?,Insel,Finnland,Grönland - правильный ответ,Irland
de,Wie wird ein weibliches Reh genannt?,Stute,Sau,Huhn,Ricke - правильный ответ
fr,Quel pays produit le plus de café au monde?,Colombie,Indonésie,Brésil - правильный ответ,Vietnam
fr,Combien de temps dure un moment?,60 secondes,90 secondes - правильный ответ,120 secondes,180 secondes
fr,Combien d'alunissages habités y a-t-il eu?,huit,cinq,six - правильный ответ,sept
fr,Quelle est la plus grande île du monde?,Île,Finlande,Groenland - правильный ответ,Irlande
fr,Comment s'appelle une femelle chevreuil?,Jument,Truie,Biche - правильный ответве,Poule
